site,month,surfWaterTempMean
LEWI,Jan,7.834
LEWI,Jan,7.806
LEWI,Jan,7.671
LEWI,Jan,7.611
LEWI,Jan,7.648
LEWI,Jan,7.727
LEWI,Jan,7.792
LEWI,Jan,7.823
LEWI,Jan,7.832
LEWI,Jan,7.818
LEWI,Jan,7.784
LEWI,Jan,7.764
LEWI,Jan,7.766
LEWI,Jan,7.787
LEWI,Jan,7.791
LEWI,Jan,7.805
LEWI,Jan,7.82
LEWI,Jan,7.847
LEWI,Jan,7.892
LEWI,Jan,7.924
LEWI,Jan,7.943
LEWI,Jan,7.981
LEWI,Jan,8.032
LEWI,Jan,8.111
LEWI,Jan,8.213
LEWI,Jan,8.294
LEWI,Jan,8.364
LEWI,Jan,8.406
LEWI,Jan,8.483
LEWI,Jan,8.523
LEWI,Jan,8.586
LEWI,Jan,8.663
LEWI,Jan,8.76
LEWI,Jan,8.05
LEWI,Jan,7.71
LEWI,Jan,8.627
LEWI,Jan,8.851
LEWI,Jan,8.865
LEWI,Jan,8.815
LEWI,Jan,8.788
LEWI,Jan,8.646
LEWI,Jan,8.661
LEWI,Jan,8.741
LEWI,Jan,8.829
LEWI,Jan,8.885
LEWI,Jan,8.919
LEWI,Jan,8.928
LEWI,Jan,8.941
LEWI,Jan,8.934
LEWI,Jan,8.933
LEWI,Jan,8.935
LEWI,Jan,8.928
LEWI,Jan,8.919
LEWI,Jan,8.912
LEWI,Jan,8.912
LEWI,Jan,8.909
LEWI,Jan,8.891
LEWI,Jan,8.844
LEWI,Jan,8.793
LEWI,Jan,8.714
LEWI,Jan,8.618
LEWI,Jan,8.566
LEWI,Jan,8.542
LEWI,Jan,8.493
LEWI,Jan,8.407
LEWI,Jan,8.324
LEWI,Jan,8.212
LEWI,Jan,8.096
LEWI,Jan,8.006
LEWI,Jan,7.979
LEWI,Jan,8
LEWI,Jan,7.953
LEWI,Jan,7.946
LEWI,Jan,8.072
LEWI,Jan,8.328
LEWI,Jan,8.317
LEWI,Jan,8.357
LEWI,Jan,8.337
LEWI,Jan,8.297
LEWI,Jan,8.325
LEWI,Jan,8.344
LEWI,Jan,8.383
LEWI,Jan,8.431
LEWI,Jan,8.445
LEWI,Jan,8.405
LEWI,Jan,8.327
LEWI,Jan,8.197
LEWI,Jan,8.124
LEWI,Jan,8.051
LEWI,Jan,7.961
LEWI,Jan,7.872
LEWI,Jan,7.789
LEWI,Jan,7.66
LEWI,Jan,7.551
LEWI,Jan,7.47
LEWI,Jan,7.23
LEWI,Jan,7.108
LEWI,Jan,7.129
LEWI,Jan,7.074
LEWI,Jan,7.094
LEWI,Jan,7.079
LEWI,Jan,7.062
LEWI,Jan,7.076
LEWI,Jan,7.06
LEWI,Jan,7.028
LEWI,Jan,7.015
LEWI,Jan,7.019
LEWI,Jan,7.025
LEWI,Jan,7.018
LEWI,Jan,7.015
LEWI,Jan,7.018
LEWI,Jan,7.009
LEWI,Jan,7.025
LEWI,Jan,7.034
LEWI,Jan,7.048
LEWI,Jan,7.056
